tag_id;taggable_id;taggable_type
70;71;Proposal
46;71;Proposal
65;72;Proposal
140;72;Proposal
60;72;Proposal
141;72;Proposal
23;72;Proposal
115;73;Proposal
90;73;Proposal
116;73;Proposal
75;73;Proposal
93;73;Proposal
110;74;Proposal
111;74;Proposal
112;74;Proposal
65;74;Proposal
120;74;Proposal
65;75;Proposal
23;75;Proposal
67;75;Proposal
68;75;Proposal
69;75;Proposal
35;77;Proposal
36;77;Proposal
15;77;Proposal
65;77;Proposal
23;77;Proposal
170;78;Proposal
125;78;Proposal
41;78;Proposal
128;78;Proposal
173;78;Proposal
105;79;Proposal
5;79;Proposal
60;79;Proposal
195;79;Proposal
120;79;Proposal
20;80;Proposal
65;80;Proposal
23;80;Proposal
4;80;Proposal
67;80;Proposal
0;81;Proposal
5;81;Proposal
160;81;Proposal
195;81;Proposal
155;81;Proposal
120;82;Proposal
140;82;Proposal
35;82;Proposal
141;82;Proposal
36;82;Proposal
130;83;Proposal
35;83;Proposal
36;83;Proposal
5;83;Proposal
55;83;Proposal
60;84;Proposal
105;84;Proposal
70;84;Proposal
15;84;Proposal
61;84;Proposal
60;85;Proposal
175;85;Proposal
11;85;Proposal
140;85;Proposal
55;85;Proposal
190;86;Proposal
187;86;Proposal
192;86;Proposal
193;86;Proposal
194;86;Proposal
0;87;Proposal
185;87;Proposal
10;87;Proposal
190;87;Proposal
187;87;Proposal
110;88;Proposal
105;88;Proposal
65;88;Proposal
111;88;Proposal
112;88;Proposal
120;89;Proposal
190;89;Proposal
185;89;Proposal
187;89;Proposal
20;89;Proposal
55;90;Proposal
5;90;Proposal
70;90;Proposal
15;90;Proposal
120;90;Proposal
130;91;Proposal
110;91;Proposal
105;91;Proposal
70;91;Proposal
111;91;Proposal
130;92;Proposal
110;92;Proposal
111;92;Proposal
112;92;Proposal
65;92;Proposal
50;93;Proposal
47;93;Proposal
65;93;Proposal
51;93;Proposal
46;93;Proposal
20;94;Proposal
120;94;Proposal
130;94;Proposal
10;94;Proposal
5;94;Proposal
80;95;Proposal
135;95;Proposal
145;95;Proposal
125;95;Proposal
25;95;Proposal
65;96;Proposal
15;96;Proposal
70;96;Proposal
23;96;Proposal
67;96;Proposal
65;97;Proposal
23;97;Proposal
67;97;Proposal
68;97;Proposal
75;97;Proposal
0;98;Proposal
20;98;Proposal
105;98;Proposal
65;98;Proposal
1;98;Proposal
0;99;Proposal
4;99;Proposal
181;99;Proposal
1;99;Proposal
105;99;Proposal
185;100;Proposal
120;100;Proposal
60;100;Proposal
5;100;Proposal
85;100;Proposal
70;101;Proposal
0;101;Proposal
185;101;Proposal
55;101;Proposal
60;101;Proposal
65;102;Proposal
60;102;Proposal
15;102;Proposal
23;102;Proposal
67;102;Proposal
140;103;Proposal
4;103;Proposal
0;103;Proposal
181;103;Proposal
141;103;Proposal
60;104;Proposal
15;104;Proposal
0;104;Proposal
165;104;Proposal
75;104;Proposal
45;105;Proposal
70;105;Proposal
46;105;Proposal
47;105;Proposal
48;105;Proposal
120;106;Proposal
100;106;Proposal
25;106;Proposal
26;106;Proposal
27;106;Proposal
60;107;Proposal
145;107;Proposal
35;107;Proposal
75;107;Proposal
36;107;Proposal
40;108;Proposal
185;108;Proposal
4;108;Proposal
181;108;Proposal
70;108;Proposal
185;109;Proposal
20;109;Proposal
40;109;Proposal
190;109;Proposal
187;109;Proposal
100;110;Proposal
26;110;Proposal
120;110;Proposal
27;110;Proposal
75;110;Proposal
15;111;Proposal
65;111;Proposal
16;111;Proposal
17;111;Proposal
23;111;Proposal
4;112;Proposal
181;112;Proposal
140;112;Proposal
141;112;Proposal
143;112;Proposal
65;113;Proposal
60;113;Proposal
70;113;Proposal
23;113;Proposal
5;113;Proposal
175;114;Proposal
11;114;Proposal
177;114;Proposal
178;114;Proposal
179;114;Proposal
185;115;Proposal
70;115;Proposal
105;115;Proposal
45;115;Proposal
195;115;Proposal
105;116;Proposal
61;116;Proposal
91;116;Proposal
108;116;Proposal
109;116;Proposal
50;117;Proposal
0;117;Proposal
10;117;Proposal
85;117;Proposal
155;117;Proposal
120;118;Proposal
25;118;Proposal
140;118;Proposal
141;118;Proposal
135;118;Proposal
70;119;Proposal
10;119;Proposal
55;119;Proposal
19;119;Proposal
65;119;Proposal
40;120;Proposal
35;120;Proposal
36;120;Proposal
170;120;Proposal
175;120;Proposal
155;121;Proposal
70;121;Proposal
108;121;Proposal
19;121;Proposal
65;121;Proposal
120;122;Proposal
160;122;Proposal
145;122;Proposal
110;122;Proposal
15;122;Proposal
70;123;Proposal
105;123;Proposal
140;123;Proposal
19;123;Proposal
65;123;Proposal
20;124;Proposal
4;124;Proposal
181;124;Proposal
65;124;Proposal
23;124;Proposal
115;125;Proposal
35;125;Proposal
36;125;Proposal
116;125;Proposal
93;125;Proposal
195;126;Proposal
35;126;Proposal
70;126;Proposal
36;126;Proposal
65;126;Proposal
95;127;Proposal
155;127;Proposal
20;127;Proposal
65;127;Proposal
23;127;Proposal
35;128;Proposal
145;128;Proposal
36;128;Proposal
15;128;Proposal
0;128;Proposal
105;129;Proposal
195;129;Proposal
65;129;Proposal
23;129;Proposal
67;129;Proposal
50;130;Proposal
0;130;Proposal
10;130;Proposal
45;130;Proposal
46;130;Proposal
40;131;Proposal
185;131;Proposal
4;131;Proposal
181;131;Proposal
0;131;Proposal
140;132;Proposal
141;132;Proposal
10;132;Proposal
45;132;Proposal
142;132;Proposal
65;133;Proposal
45;133;Proposal
23;133;Proposal
67;133;Proposal
68;133;Proposal
15;134;Proposal
190;134;Proposal
187;134;Proposal
185;134;Proposal
16;134;Proposal
199;135;Proposal
62;135;Proposal
72;135;Proposal
71;135;Proposal
70;135;Proposal
185;136;Proposal
120;136;Proposal
5;136;Proposal
186;136;Proposal
125;136;Proposal
50;137;Proposal
185;137;Proposal
85;137;Proposal
70;137;Proposal
65;137;Proposal
70;138;Proposal
5;138;Proposal
120;138;Proposal
85;138;Proposal
55;138;Proposal
65;139;Proposal
23;139;Proposal
67;139;Proposal
68;139;Proposal
69;139;Proposal
105;140;Proposal
5;140;Proposal
65;140;Proposal
61;140;Proposal
91;140;Proposal
0;141;Proposal
15;141;Proposal
110;141;Proposal
70;141;Proposal
111;141;Proposal
145;142;Proposal
25;142;Proposal
190;142;Proposal
187;142;Proposal
65;142;Proposal
70;143;Proposal
45;143;Proposal
65;143;Proposal
46;143;Proposal
55;143;Proposal
65;144;Proposal
4;144;Proposal
181;144;Proposal
23;144;Proposal
150;144;Proposal
70;145;Proposal
100;145;Proposal
35;145;Proposal
125;145;Proposal
36;145;Proposal
185;146;Proposal
90;146;Proposal
91;146;Proposal
187;146;Proposal
186;146;Proposal
130;147;Proposal
115;147;Proposal
75;147;Proposal
116;147;Proposal
